case_id,year,paper_code,paper_id,title,problem_types,models,validation_methods,core_problem,data_features,card_path,source_pdf
case-001,2012,A335,1191829,葡萄酒的质量分析与评价,评价 | 聚类 | 回归,双因素方差分析 | 置信区间异常修正 | K-Means | 优势矩阵 | 相关分析 | 逐步回归 | 多级嵌套回归,F检验 | 回归显著性检验 | 拟合优度 | 处理方法对比,在评酒员主观差异、葡萄与葡萄酒多层理化指标并存时，先识别可信评分，再完成葡萄分级并判断理化指标能否解释酒质。,红、白葡萄及其葡萄酒的配对理化/芳香物质指标，两组评酒员的重复评分；指标量纲多、变量多且评分带明显评委效应。,cases/case-001.md,2012/A335——2012高教社杯全国大学生数学建模竞赛_[1191829].pdf
case-002,2012,A441,1699440,葡萄酒的评价,评价 | 聚类 | 回归,正态性检验 | 差异显著性检验 | 逐步回归 | 聚类分析 | 判别分析 | 相关系数筛选,显著性检验 | 分类正确率 | R2 | 回归系数显著性,从两组主观评分中选择可信组，联合葡萄、葡萄酒理化指标与芳香物质建立分级和质量评价体系。,评委评分矩阵与多组理化、芳香物质指标；高维、强相关、量纲不一，且 PDF 文本编码异常，本卡对关键页做了可视核验。,cases/case-002.md,2012/A441——2012高教社杯全国大学生数学建模竞赛_[1699440].pdf
case-003,2012,B017,1699242,基于递归算法的建筑外表面光伏电池布局优化分析与设计,优化 | 机理 | 仿真,Hay斜面辐射模型 | 二维矩形排样 | 贪心递归 | 无约束优化 | 三次样条插值,经济指标核算 | 情景比较 | 方案复用检验,同时决定光伏组件、逆变器、墙面排样、倾角朝向和建筑外形，在发电量、单位电量成本与可制造约束之间求可实施方案。,典型气象年逐时辐射、不同朝向表面、光伏与逆变器离散规格、35年寿命和带门窗的二维可用区域；连续能量计算与组合排样耦合。,cases/case-003.md,2012/B017——2012高教社杯全国大学生数学建模竞赛_[1699242].pdf
case-004,2013,,1700250,北京市水资源短缺风险综合评价模型,评价 | 预测 | 聚类,逐步回归 | 主成分分析 | 主成分回归 | Logistic回归 | 模糊综合评价 | K-Means | ARIMA,累计方差贡献率 | 拟合优度 | F检验 | 历史等级对照,从31年高维水资源指标中识别主风险因子，构造概率×损失的年度风险度并分级，再预测未来两年风险。,北京1979—2009年31个年度样本，初始25项供水、用水、经济、生活、生态和工程技术指标；小样本、高维且指标强相关。,cases/case-004.md,2013/北京市水资源短缺风险综合评价模型-厦门大学_[1700250].pdf
case-005,2013,,1700221,古塔的变形,机理 | 预测 | 优化,"最小二乘平面拟合 | 条件极值 | 空间曲线曲率 | 坐标旋转 | GM(1,1)",残差检验 | 相对误差 | 指标趋势一致性,从四次三维测量的层级观测点恢复各层中心，定义可解释的倾斜、弯曲、扭曲指标，并在极小时间样本下预测趋势。,1986、1996、2009、2011四次测量；13层、每层约8个三维点和塔尖点，含缺失值；空间层级明确但时间样本仅4个。,cases/case-005.md,2013/古塔的变形-成都工业学院_[1700221].pdf
case-006,2013,,1700251,垃圾分类处理与清运方案设计,优化 | 网络 | 评价,成本收益分析 | 最短路径 | 设施选址 | 分区优化 | 碳排放核算,优化前后成本对比 | 耗油量对比 | 碳排放核算,在设备容量、转运站位置、车辆载重与分类去向约束下，联合决定处理设备、中心位置和清运路线，并同时评价经济和环境效果。,38个转运站、道路/地图距离、四类垃圾量、大小设备能力与成本、拖车和收集车油耗；空间网络与容量、趟次离散决策并存。,cases/case-006.md,2013/垃圾分类处理与清运方案设计-南京大学_[1700251].pdf
case-007,2013,,1700213,城市公共自行车服务系统运行状况和效率分析,评价 | 聚类 | 网络,描述统计 | 随机效用模型 | 分布拟合 | 道路图像细化 | K-Means | 社会福利优化,多距离口径对比 | 分布拟合诊断 | 高峰稳定性检查,从20天借还车日志识别用户时长偏好、站点时空供需和潮汐现象，进而评价站点/锁桩配置并提出调度与选址建议。,637336条清洗后记录、180个站点、20天时间戳与借车卡；另有站点地图坐标。数据量大、时空依赖强，含站点号、时间格式和时长字段错误。,cases/case-007.md,2013/城市公共自行车服务系统运行状况和效率分析_[1700213].pdf
case-008,2013,,1700247,碎纸复原模型与算法,组合优化 | 分类 | 图像处理,碎纸距离模型 | TSP | 模拟退火 | 层次特征分类 | 人机协同,复原图目视核对 | 人工干预度评价 | 正反面一致性检查,把大量无序碎片的版面复原转化为可计算的相邻代价与全局排序，并用行层次分类降低二维和双面拼接的组合复杂度。,输入为规则矩形的黑白文字碎片图像；一维问题每页19条，二维问题可按11行、每行19片组织，双面数据正反两图绑定。文字方向、行距、页边距提供强结构先验。,cases/case-008.md,2013/碎纸复原模型与算法-广东财经大学_[1700247].pdf
case-009,2013,,1700228,碎纸片的拼接复原,图像处理 | 聚类 | 组合排序,左右边界匹配 | 行特征匹配 | 上下边界匹配 | 两层筛选 | 双面一致性约束,人工答案对照 | 拼接正确率 | 双面约束一致性,从规则切割文字碎片的像素边界与版面行特征中恢复横向邻接、行归属和纵向次序，并把双面信息作为额外一致性约束。,BMP碎片大小相同、边缘平滑、无倾斜和噪声；一维每页19条，二维每页11×19片，双面每个实体有a/b两幅绑定图像。数据结构规则但对阈值、版式和语种敏感。,cases/case-009.md,2013/碎纸片的拼接复原-西南交通大学_[1700228].pdf
case-010,2013,,1700246,车道被占用对城市道路通行能力的影响,评价 | 预测 | 仿真 | 机理分析,背景差分图像处理 | 方差分析 | 通径分析 | 二流理论 | BP神经网络 | 遗传算法 | 元胞自动机,正态性检验 | 方差齐性检验 | 显著性检验 | 样本拟合 | 重复仿真,从事故视频估计流量、通行能力和队列长度，辨别占道位置的影响机制，并预测队列何时到达上游路口。,两段定点交通视频提供按分钟车辆计数、车型、上游流量和像素队列长度；样本存在透视尺度、遮挡与时间波动，最终预测还给定140米、1500 pcu/h等情景参数。,cases/case-010.md,2013/车道被占用对城市道路通行能力的影响-华南理工大学_[1700246].pdf
case-011,2013,,1700244,车道被占用对城市道路通行能力的影响,排队 | 回归 | 仿真 | 预测,饱和流率估计 | 单服务台多队列 | 概率HRRN | 多元回归 | 元胞自动机,显著性检验 | 视频对照 | 重复仿真 | 模型间交叉核验,用有限事故视频定义并估计实际最大通行能力，解释不同车道占用的差异，再以排队与车辆级仿真预测队列传播时间。,两段视频中提取断面车流、车种、速度、车道分配、上游流量及六次排队事件；数据时间序列短、事件样本少，第四问需把总入流1500 pcu/h分配到车道和时刻。,cases/case-011.md,2013/车道被占用对城市道路通行能力的影响-周晨阳周登岳孔垂烨_[1700244].pdf
case-012,2014,A012,1700764,嫦娥三号软着陆轨道设计与控制策略,优化 | 机理/动力学 | 仿真,二体动力学 | Pontryagin极大值原理 | 自适应模拟退火遗传算法 | 蒙特卡洛,替代算法交叉验证 | 蒙特卡洛打靶 | 误差分析 | 敏感性分析,在月球软着陆六阶段的端点状态、推力和姿态约束下，反求准备轨道端点并设计最小燃耗制导与避障控制策略。,轨道端点和发动机参数已知，高程图用于避障；连续动力学、分阶段状态约束与多源扰动并存。,cases/case-012.md,2014/A012_1A1509-A012嫦娥三号软着陆轨道设计与控制策略-山东大学-论文_[1700764].pdf
case-013,2014,A063,1700760,嫦娥三号软着陆轨道设计与控制策略,机理模型 | 优化 | 图像处理 | 敏感性分析,二维动力学 | 三维动力学 | 参数优化 | 边缘检测 | 坡度筛选 | 误差转移矩阵,误差传播 | 5%扰动实验 | 参数敏感性分析 | 量级检查,在轨道定位、燃料消耗、阶段末状态与月面避障的多重约束下设计六阶段软着陆轨迹，并评价控制策略对初始误差和关键参数的鲁棒性。,数据混合轨道/探测器物理参数与月面数字高程图；状态连续、阶段目标不同，且近月点搜索为连续空间，粗避障和精避障分别需要不同尺度的地形判据。,cases/case-013.md,2014/A063_1A2311-A063嫦娥三号软着陆轨道设计与控制策略-西南交通大学峨眉校区-论文下载_[1700760].pdf
